JUGADORES	100metros	longitud	peso	altura	400m	110vallas	Disco	pertiga	jabalina	1500m	puntuacion
AdamHelcelet	11,13	7,28	15,3	1,99	50,16	14,36	43,44	4,6	63,44	287	8000
ArthurAbele	11,24	7,01	15,06	1,81	50,37	15,6	42,38	4,5	60,98	280	7662
BaptisteThiery	10,87	6,94	12,95	1,9	47,66	15,1	41,93	5,4	55,07	258	8057
DarioDester	10,81	7,46	14,56	2,02	47,9	14,44	43,04	4,9	57,24	281	8218
Fredriksamuelsson	11,17	6,91	14,18	1,96	50,7	14,83	41,38	4,8	63,53	284	7757
Janekoiglane	11,01	7,27	14,82	2,02	48,8	14,39	41,97	5,1	70,94	282	8346
JiriSykora	11,09	6,92	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS
KaKazmirek	11,15	7,25	14,09	2,02	48,24	14,42	45,18	5	61,23	286	8151
KarelTilga	11,27	7,28	15,21	1,96	50,66	15,16	49,91	DNS	DNS	DNS	DNS
KevinMayer	11,67	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS
MaicelUibo	11,3	7,23	14,55	2,08	50,21	14,79	46,59	5,3	62,74	282	8234
MarcusNilsson	11,39	7	15,69	1,99	49,77	14,88	46,06	5,2	66,69	258	8327
MartinRoe	10,94	7,21	14,77	1,87	50,83	16,19	47,46	4,6	63,26	281	7754
NielsPittomvils	11,32	7,1	15,25	2,02	51,09	14,81	46,77	4,7	56,3	282	7862
NiklasKaul	11,16	7,1	14,9	2,02	47,87	14,45	41,8	4,9	76,05	250	8545
PawelWiesiolek	11,07	7,45	15,11	2,02	49,88	15,32	42,84	4,8	DNS	DNS	DNS
RikTaam	10,76	7,29	13,97	1,93	47,61	DNS	DNS	DNS	DNS	DNS	DNS
SanderSkotheim	10,98	7,56	13,65	2,11	48,27	15,64	44,13	5	56,48	266	8211
SimonEhammer	10,56	8,31	14,24	2,08	47,4	13,75	34,92	5,2	53,46	288	8468
SvenRoosen	10,83	7,14	14,13	1,84	47,69	14,45	38,4	4,8	59,74	258	8021
TimNowak	11,51	6,97	14,27	2,08	DNS	DNS	DNS	DNS	DNS	DNS	DNS
